,ko15,ko16,ko18,ko19,ko21,ko22,wt15,wt16,wt18,wt19,wt21,wt22
200.1,-1.3409987597640836,-0.21114538554455342,-2.666752841745528,-2.3904012868798765,-1.650666388988752,-0.5661330880363896,-0.900358721899033,-2.204136048794979,-2.6904832971487593,-1.8433987983097366,-0.7064229511515474,-1.4444371321175118
205.0,2.2471450600623655,1.583775101975145,1.8384408791933553,1.8095350422314538,2.193825147845899,2.16004624488028,2.5764415191076373,1.9458872489497179,2.2294279088427738,2.360572230705971,2.4387690478742914,2.204862831123707
206.0,-0.6545768921137876,-0.9547626951045425,-1.041779345270052,-0.9817750105647852,-0.5950175561149386,-0.6133397102354158,-0.2416753478821443,-0.7757562216285798,-0.6635824867380127,-0.4103195066206824,-0.40960604515682286,-0.632082459668479
207.1,0.02381015681217502,-0.18258570589341705,-0.23725285625191683,-0.43494231430453156,0.10160645679564972,-0.029438301922631305,0.35146105626099255,-0.22873161799749142,-0.27068777297878654,-0.1683408975529339,0.015887648676625732,-0.1741822478008097
219.1,-0.6694974456459959,-1.5902317932543355,-2.3316408087555307,-1.8990979654233908,-0.5249912482340618,-0.45935158841346435,-0.4188400791528193,-1.2399841959736075,-2.219066633628535,-1.7253788852341811,-0.07039167868032359,-0.6197370449920642
231.0,-1.6710001936541454,-3.4164974583855496,-0.8972855189040947,-0.05058346484215559,0.7026457062141692,-1.9479758674010705,0.5108411854039678,-2.6362711172254834,-1.792027465929883,-0.04760336136799359,-0.31306811237057697,-0.5739305373717093
233.0,0.09141414979638529,-0.5504658718109114,-0.014244324346294857,-0.5792371716615247,0.4428027331652268,0.40590761091709576,0.2803577302806952,-0.48905962738198605,-0.0038911508604730916,-0.44905115359364656,0.869348917597342,0.13972954513384805
234.0,-2.2848003933050753,-2.3930434734170474,-2.088375371233609,-2.4711908687665876,-1.5993776176328551,-1.5649572953403106,-2.325881153178888,-2.7664117780738566,-2.1844025998574343,-2.4574366768496922,-1.5793449691302952,-2.2153715750396508
235.1,-1.1231309103389555,-2.019435296069842,-1.415406910450216,-1.3625486551328483,-2.8233892690880658,-4.967921449693326,-0.7093063395081012,-3.6642518461310685,-1.0952511018626718,-2.239166298946325,-4.094368578489295,-3.268754983238315
236.1,-0.5704622004390945,-1.3433251271728521,-2.5303865533784364,-2.0099428828644195,-0.5182625951194414,-0.2708889384384986,-0.3655315845468692,-1.0239153862395545,-2.0787016169152057,-1.4640067782822275,0.03509559433026754,-0.3713629689522727
240.2,-1.7363360272842128,-2.5307294523698305,-1.0974596272218586,-0.7968006949941712,-1.7187092371696542,-0.7107162999798219,-2.894433545516313,-0.49107770965799036,-0.9266681165004331,-0.4086830213165398,-1.7330365223758981,-1.6338611407490125
241.1,1.968302100617775,1.3349023119372636,1.5515149002105997,1.0922407265244352,1.1172907510323231,1.2282421413381908,2.1667078733941576,2.066523422548848,1.5861660684399088,1.697736822589927,1.548874139621768,0.9691655673678843
242.1,-0.4161232462166098,-1.0712507953299701,-0.8852902558817011,-1.4431838166965445,-1.3642935362805186,-1.2465552338707808,-0.2224058283365271,-0.34636341014353667,-0.8324753944836811,-0.8293761123359573,-0.8374291492364356,-1.486140869178593
244.1,0.708432054447405,-1.0282669142911287,-2.1951241397697765,-3.1555050628742176,-2.2914243807535115,-1.0542769196275703,0.9412123881450172,-2.742597574841761,-0.9927660875337154,-3.1873198235678486,-1.1827898158234365,2.340601198312687
246.1,-3.7454800868847316,-3.3419489077594013,-3.446692832892275,-2.827995009025202,-2.251442627596334,-2.324091155270376,-1.6318096198699195,-2.4328126474819642,-2.863171804035556,-2.4441315914663995,-1.6957575450674576,-2.4576541985066713
249.1,1.9374795585708249,1.2322195984976911,1.5251341157416298,1.1145384510830052,1.0057239322540246,1.2588271804589226,1.9890296787119048,2.0405658666675395,1.6827585031247119,1.5907720233086464,1.4609177869810193,0.8618422198843193
250.1,-0.10726347525571289,-1.1298260927497366,-0.7400316406718594,-1.227220530251694,-1.3097355472325325,-1.0158050818418123,-0.21478290810415057,-0.17998039415724176,-0.6378028814058194,-0.7284683207104852,-0.8441565007598959,-1.420091933424935
254.1,-2.2471958613976444,0.11124240586136053,-2.2149023308628237,-1.2208200651383998,-3.6664099773375094,-3.3099881738899213,-2.58099191745396,-1.6160169965715994,-1.628308194787769,-3.044555074918574,-1.9151022003618243,-3.277030261409478
255.2,1.9223629376032665,1.1839684527873744,1.6083706585993096,1.1845859099748468,1.120296796181683,1.4416608154947754,1.8898198969258335,2.0255677837131807,1.6105422427037879,1.8175642420383005,1.6017130321425386,1.2626531485714998
256.2,-0.283935969082477,-0.9893886002202985,-0.5918193954250628,-1.1013414400804558,-1.140288853971326,-0.9000156860058567,-0.3392754131285496,-0.17000330830649613,-0.6506904812759462,-0.46113162658958684,-0.6029032944018267,-1.5404903623911088
256.2,-0.7089379221348322,2.4714340687668024,-0.7539078539213562,-1.3804000255638376,-2.0289560857660938,-1.948455616837642,-0.3912828858101747,-0.3751175694556321,-0.854964218518415,-1.325950191979472,-0.5514319023237058,-0.7441691591652296
257.1,-0.9885095990627093,-1.2226294918530536,-0.8640415388727527,-1.1763163767343956,-1.7849264340110258,-1.7343455295882992,-0.3428678606591089,-0.7853606552488315,-0.8144046154234841,-0.7664927820519267,-1.7683714400155603,-0.8817882152886379
264.1,-4.009731873384386,-1.4959617099805274,-1.3280664014861174,-0.6526458167586132,-0.5581804735094577,-0.29165617317675674,-3.197874896573724,-1.555997038532121,-1.1596013094609199,-0.5471351516755196,-0.9341200211041423,-0.8835824842400152
266.2,0.01880377376163822,-0.5857031913066151,-0.34842411251629335,-0.2735695816137761,-0.9013618574328371,-0.29132594825541014,-0.5482952502924816,0.48823870905374717,-0.1026708004987793,0.23529400929607125,-0.4516613068739035,-0.49136801910139305
267.2,1.966265917300973,1.2442617083332215,1.473517404224266,1.0253218222401308,1.0050591499004327,1.23432417174471,2.060825791400677,2.0851105610131633,1.5901136667254838,1.5518142567781255,1.3808927828742539,0.8821704148921828
268.2,-5.620249332625043,-3.2292599550817913,-0.6031379012190099,-0.9568117520348655,-1.3425649809025173,-1.4739055607554583,-7.052285837024543,0.2925846136773934,-0.6958214684323527,-0.372458844606703,-1.114978141426317,-1.1015206265549682
